ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
1,5,1,"Stylus Photo 1270, 1290, 790, 870, 890, 895, 900, 915",,C13T009401,330,1,1,26-апр-06,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж цветной Epson: C13T009401,Картридж цветной Epson: C13T009401,ЛОЖЬ,,ЛОЖЬ
2,5,1,"Stylus Photo 1270, 1290, 790, 870, 890, 895, 900, 915",,C13T007402,378,2,2,11-мар-06,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T007402,Картридж черный Epson: C13T007402,ЛОЖЬ,,ЛОЖЬ
3,1,7,"DesignJet 110 Plus, Plus NR, 500 24"", 500 42"", 500 Plus 24"", 500 Plus 42"", 500ps 24"", 500ps 42"", 500ps PLUS 24"", 500ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 70, 800 42"", 800PS 24"", 800PS 42"", InkJet CP1700, CP1700d, CP1700ps",,C4810A,0,1,2,06-дек-05,28-май-11,,0,0,,30-дек-99,0,0,,Печ. головка черный HP: C4810A,Печ. головка черный HP: C4810A,ЛОЖЬ,,ЛОЖЬ
4,1,7,"DesignJet 110 Plus, Plus NR, 500 24"", 500 42"", 500 Plus 24"", 500 Plus 42"", 500ps 24"", 500ps 42"", 500ps PLUS 24"", 500ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 70, 800 42"", 800PS 24"", 800PS 42"", InkJet CP1700, CP1700d, CP1700ps",,C4811A,0,1,3,06-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Печ. головка голубой HP: C4811A,Печ. головка голубой HP: C4811A,ЛОЖЬ,,ЛОЖЬ
5,1,7,"DesignJet 110 Plus, Plus NR, 500 24"", 500 42"", 500 Plus 24"", 500 Plus 42"", 500ps 24"", 500ps 42"", 500ps PLUS 24"", 500ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 70, 800 42"", 800PS 24"", 800PS 42"", InkJet CP1700, CP1700d, CP1700ps",,C4812A,0,1,4,06-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Печ. головка пурпурный HP: C4812A,Печ. головка пурпурный HP: C4812A,ЛОЖЬ,,ЛОЖЬ
6,1,7,"DesignJet 110 Plus, Plus NR, 500 24"", 500 42"", 500 Plus 24"", 500 Plus 42"", 500ps 24"", 500ps 42"", 500ps PLUS 24"", 500ps PLUS 42"", 510 24"", 510 42"", 510PS 24"", 510PS 42"", 70, 800 42"", 800PS 24"", 800PS 42"", InkJet CP1700, CP1700d, CP1700ps",,C4813A,0,1,5,06-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Печ. головка желтый HP: C4813A,Печ. головка желтый HP: C4813A,ЛОЖЬ,,ЛОЖЬ
7,6,1,"Phaser 3400, 3400N",,106R00462,8000,1,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Xerox: 106R00462,Картридж черный Xerox: 106R00462,ЛОЖЬ,,ЛОЖЬ
8,6,1,"Phaser 3400, 3400N",,106R00461,4000,1,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Xerox: 106R00461,Картридж черный Xerox: 106R00461,ЛОЖЬ,,ЛОЖЬ
9,6,1,Phaser 3310,,106R00646,6000,1,2,26-апр-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Xerox: 106R00646,Картридж черный Xerox: 106R00646,ЛОЖЬ,,ЛОЖЬ
10,6,1,"DocuPrint P8e, P8ex",,603P06174,5000,1,2,11-мар-06,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Xerox: 603P06174,Картридж черный Xerox: 603P06174,ЛОЖЬ,,ЛОЖЬ
