ID,VendorID,FormatID,PrintTypeID,ModelTypeID,Name,ColorsCount,ColorsString,RollSupport,PartNumber,NoBorder,Added,Updated,Description,UserUpdated,FavCartrigeIDs,Barcode,ProfileID,IdentOID,IdentValue,Photo,Firmware
1,1,5,1,1,LaserJet 1300,1,Black,ЛОЖЬ,Q1334A,ЛОЖЬ,26-апр-06,31-авг-16,,,1:92,,29,1.3.6.1.2.1.25.3.2.1.3.1,hp LaserJet 1300,,
2,1,5,1,1,LaserJet 1320,0,,ЛОЖЬ,Q5927A,ЛОЖЬ,26-апр-06,22-сен-16,,,1:90,,29,1.3.6.1.2.1.25.3.2.1.3.1,hp LaserJet 1320 series,,
3,5,4,5,1,Stylus Color 1160,0,,ЛОЖЬ,C11C295091,ЛОЖЬ,26-апр-06,06-июл-11,,,1:41;5:17,,,,,,
4,5,4,5,1,Stylus Photo 1290,0,,ЛОЖЬ,C11C393156,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
5,1,5,1,1,LaserJet 1015,0,,ЛОЖЬ,Q2462A,ЛОЖЬ,26-апр-06,02-июл-11,,,1:27,,,,,,
6,3,5,1,1,LBP 810,0,,ЛОЖЬ,,ЛОЖЬ,11-мар-06,20-июн-11,,,1:25,,,,,,
7,6,5,1,1,Phaser 3400,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,09-авг-16,,,1:7,,81,1.3.6.1.4.1.236.11.5.1.1.1.1.0,Phaser 3400*,,
8,6,5,1,1,Phaser 3310,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,01-июл-11,,,1:9,,,,,,
9,5,5,4,1,AcuLaser C1900,0,,ЛОЖЬ,C11C485001BA,ЛОЖЬ,11-мар-06,09-авг-16,,,,,11,1.3.6.1.2.1.25.3.2.1.3.1,EPSON AL-C1900,,
10,1,2,5,2,"DesignJet 500 24""",0,,ЛОЖЬ,C7769B,ЛОЖЬ,26-апр-06,09-авг-16,,,1:49;2:42;3:48;4:47;7:3;8:4;9:6;10:5,,38,1.3.6.1.4.1.11.2.3.9.4.2.1.1.3.1.0,C7769B,,A.04.02
11,1,1,5,2,"DesignJet 500 42""",0,,ЛОЖЬ,C7770B,ЛОЖЬ,26-апр-06,09-авг-16,,,1:49;2:42;3:48;4:47;7:3;8:4;9:6;10:5,,38,1.3.6.1.4.1.11.2.3.9.4.2.1.1.3.1.0,C7770B,,A.04.02
12,5,5,3,1,LQ-100,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,02-июл-11,,,1:1063,,,,,,
13,8,4,1,5,Aficio 2018,0,,ЛОЖЬ,411664,ИСТИНА,26-апр-06,20-авг-18,,,1:13;16:56;24:14,,59,1.3.6.1.2.1.25.3.2.1.3.1,RNP89CC02,,
14,8,4,4,5,Aficio 1224C,0,,ЛОЖЬ,405355,ЛОЖЬ,11-мар-06,09-авг-16,,,1:62;2:61;3:59;4:60,,45,1.3.6.1.4.1.367.3.2.1.7.2.2.3.0,RICOH Aficio 1224C,,
15,6,5,1,5,WorkCentre M15i,0,,ЛОЖЬ,M15VI_MBRU,ЛОЖЬ,26-апр-06,01-июл-11,,,1:15;16:16,,,,,,
16,5,3,5,1,Stylus Pro 4000,0,,ЛОЖЬ,С11С511001,ИСТИНА,26-апр-06,09-авг-16,,,1:35;2:30;3:31;4:33;14:36;15:37;36:32;30:34;6:29,,18,1.3.6.1.2.1.25.3.2.1.3.1,EPSON Stylus Pro 4000,,
17,5,3,5,1,Stylus Color 3000,0,,ЛОЖЬ,C11C203161,ЛОЖЬ,26-апр-06,02-июл-11,,,1:65;2:66;3:64;4:67,,,,,,
18,5,5,3,1,LX-300+,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,02-июл-11,,,1:1065,,,,,,
19,6,4,1,1,Phaser 5400N,0,,ЛОЖЬ,,ИСТИНА,11-мар-06,15-дек-16,,,1:11;28:1486,,84,1.3.6.1.4.1.253.8.53.3.2.1.2.1,Xerox Phaser 5400 *,,
20,6,4,1,1,DocuPrint N2825,0,,ЛОЖЬ,,ИСТИНА,26-апр-06,09-авг-16,,,1:12,,79,1.3.6.1.4.1.253.8.53.3.2.1.2.1,Xerox DocuPrint N2825 Network Laser Printer*,,2.12
21,1,2,5,2,DesignJet 130nr,0,,ЛОЖЬ,C7791D,ЛОЖЬ,26-апр-06,09-авг-16,,,1:115;2:113;3:112;4:114;14:116;15:111;7:106;8:105;9:103;10:104;11:102;12:101,,37,1.3.6.1.4.1.11.2.3.9.4.2.1.1.3.1.0,C7791D,,D.05.04
22,6,5,1,1,DocuPrint P8ex,0,,ЛОЖЬ,,ЛОЖЬ,11-мар-06,01-июл-11,"LPT, USB",,1:10,,,,,,
23,1,5,4,1,Color LaserJet 2600n,0,,ЛОЖЬ,Q6455A,ЛОЖЬ,11-мар-06,09-авг-16,,,1:100;2:99;3:98;4:97,,24,1.3.6.1.2.1.25.3.2.1.3.1,HP Color LaserJet 2600n,,20070716
24,1,5,1,1,LaserJet 4000,0,,ЛОЖЬ,C4118A,ЛОЖЬ,26-апр-06,09-авг-16,,,1:88,,29,1.3.6.1.2.1.25.3.2.1.3.1,HP LaserJet 4000 Series,,
25,5,4,5,1,Stylus Photo 1270,0,,ЛОЖЬ,C296101,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
26,7,5,1,5,SCX-5315F,0,,ЛОЖЬ,SCX-5315F,ЛОЖЬ,26-апр-06,01-июл-11,,,1:15;16:16,,,,,,
27,5,5,5,1,Stylus Photo 900,0,,ЛОЖЬ,C11C501043,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
28,5,5,5,1,Stylus Photo 830U,0,,ЛОЖЬ,C11C525053,ИСТИНА,26-апр-06,02-июл-11,,,1:50;5:51,,,,,,
29,5,5,5,1,Stylus Photo 830,0,,ЛОЖЬ,C11C483033,ИСТИНА,26-апр-06,02-июл-11,,,1:50;5:51,,,,,,
30,5,5,5,1,Stylus Photo 810,0,,ЛОЖЬ,C11C417033,ИСТИНА,26-апр-06,02-июл-11,,,1:50;5:51,,,,,,
31,5,5,5,1,Stylus Photo 750,0,,ЛОЖЬ,C259111,ЛОЖЬ,26-апр-06,02-июл-11,,,1:69;5:55,,,,,,
32,5,5,5,1,Stylus Photo 950,0,,ЛОЖЬ,C11C456013,ИСТИНА,26-апр-06,07-июл-11,,,1:74;2:75;3:73;4:71;14:72;15:70,,,,,,
33,5,5,5,1,Stylus Photo 935,0,,ЛОЖЬ,C11C505023,ИСТИНА,26-апр-06,02-июл-11,,,1:50;5:51,,,,,,
34,5,5,5,1,Stylus Photo 925,0,,ЛОЖЬ,C11C475043,ИСТИНА,26-апр-06,02-июл-11,,,1:50;5:51,,,,,,
35,5,5,5,1,Stylus Photo 915,0,,ЛОЖЬ,C11C498037,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
36,5,5,5,1,Stylus Photo 890,0,,ЛОЖЬ,C11C394044,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
37,5,5,5,1,Stylus Photo 790,0,,ЛОЖЬ,C384043,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
38,5,5,5,1,Stylus Photo 870,0,,ЛОЖЬ,C304037,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
39,5,5,5,1,Stylus Photo 895,0,,ЛОЖЬ,C11C408045,ИСТИНА,26-апр-06,06-июл-11,,,1:2;5:1,,,,,,
40,7,5,1,5,SCX-5115,0,,ЛОЖЬ,SCX-5115,ЛОЖЬ,26-апр-06,01-июл-11,,,1:15;16:16,,,,,,
41,6,4,4,5,DocuColor 4CP,0,,ЛОЖЬ,100S11053,ИСТИНА,26-апр-06,01-июл-11,,,1:96;2:95;3:93;4:94;20:1008,,,,,,
42,5,5,5,1,Stylus Color 760,0,,ЛОЖЬ,C298091,ЛОЖЬ,26-апр-06,06-июл-11,,,1:41;5:17,,,,,,
43,5,5,5,1,Stylus Color 860,0,,ЛОЖЬ,C303001,ЛОЖЬ,26-апр-06,06-июл-11,,,1:41;5:17,,,,,,
44,5,3,5,1,Stylus Color 1520,0,,ЛОЖЬ,C11C211061,ЛОЖЬ,26-апр-06,06-июл-11,,,1:41;5:17,,,,,,
45,1,5,1,1,LaserJet 4L,0,,ЛОЖЬ,C2003A,ЛОЖЬ,26-апр-06,01-июл-11,,,1:23,,,,,,
46,8,4,1,5,Aficio 2018D,0,,ЛОЖЬ,411673,ИСТИНА,11-мар-06,09-авг-16,Duplex,,1:13;16:56;24:14,,59,1.3.6.1.4.1.367.3.2.1.6.1.1.7.1,RNP89CC02,,
47,8,4,1,5,Aficio 1018D,0,,ЛОЖЬ,410744,ИСТИНА,11-мар-06,20-авг-18,Duplex,,1:84;16:56;24:58,,67,1.3.6.1.2.1.25.3.2.1.3.1,8118,,
48,8,4,1,5,Aficio 1018,0,,ЛОЖЬ,410732,ИСТИНА,26-апр-06,20-авг-18,,,1:84;16:56;24:58,,67,1.3.6.1.2.1.25.3.2.1.3.1,8118,,
49,6,5,1,5,WorkCentre M15,0,,ЛОЖЬ,M15VMB,ИСТИНА,11-мар-06,01-июл-11,,,1:15;16:16,,,,,,
50,6,5,1,5,WorkCentre Pro 312,0,,ЛОЖЬ,100N02379,ЛОЖЬ,26-апр-06,01-июл-11,,,1:15;16:16,,,,,,
51,6,5,1,5,WorkCentre M20,0,,ЛОЖЬ,M20VB,ЛОЖЬ,26-апр-06,09-авг-16,,,1:22;16:21,,74,1.3.6.1.4.1.236.11.5.1.1.1.1.0,Xerox WorkCentre M20,,3.09
52,6,5,1,5,WorkCentre M20i,0,,ЛОЖЬ,M20VI,ЛОЖЬ,26-апр-06,09-авг-16,,,1:22;16:21,,74,1.3.6.1.4.1.236.11.5.1.1.1.1.0,Xerox WorkCentre M20i,,3.09
53,1,5,1,1,LaserJet 4P,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,01-июл-11,,,1:23,,,,,,
54,1,5,1,1,LaserJet 4ML,0,,ЛОЖЬ,C2015A,ЛОЖЬ,26-апр-06,01-июл-11,,,1:23,,,,,,
55,1,5,1,1,LaserJet 4MP,0,,ЛОЖЬ,,ЛОЖЬ,26-апр-06,01-июл-11,,,1:23,,,,,,
56,1,4,1,1,LaserJet 4V,0,,ЛОЖЬ,C3141A,ЛОЖЬ,26-апр-06,09-авг-16,,,1:24,,43,1.3.6.1.4.1.11.2.3.9.4.2.1.1.3.1.0,C3141A,,
57,1,4,1,1,LaserJet 4MV,0,,ЛОЖЬ,C3142A,ЛОЖЬ,26-апр-06,09-авг-16,,,1:24,,43,1.3.6.1.4.1.11.2.3.9.4.2.1.1.3.1.0,C3142A,,
58,1,5,1,1,LaserJet 6L,0,,ЛОЖЬ,C3990A,ЛОЖЬ,26-апр-06,21-июн-11,,,1:87,,,,,,
59,1,5,1,1,LaserJet 6P,0,,ЛОЖЬ,C3980A,ЛОЖЬ,26-апр-06,01-июл-11,,,1:148,,,,,,
60,1,5,1,1,LaserJet 6MP,0,,ЛОЖЬ,C3982A,ЛОЖЬ,26-апр-06,01-июл-11,,,1:148,,,,,,
