ID,Priority,Name,Added,Updated,Types,Colors,AllTypes,AllColors
1,-1,Cartridge Black,28-мар-11,28-мар-11,"Картридж, Тонер, Чернила",черный,ЛОЖЬ,ЛОЖЬ
2,1,Cartridge Cyan,28-мар-11,28-мар-11,"Картридж, Тонер, Чернила",голубой,ЛОЖЬ,ЛОЖЬ
3,2,Cartridge Yellow,28-мар-11,28-мар-11,"Картридж, Тонер, Чернила",желтый,ЛОЖЬ,ЛОЖЬ
4,3,Cartridge Magenta,28-мар-11,28-мар-11,"Картридж, Тонер, Чернила",пурпурный,ЛОЖЬ,ЛОЖЬ
14,4,Cartridge Light Cyan,11-май-11,11-май-11,"Картридж, Тонер, Чернила",светло-голубой,ЛОЖЬ,ЛОЖЬ
15,5,Cartridge Light Magenta,11-май-11,11-май-11,"Картридж, Тонер, Чернила",светло-пурпурный,ЛОЖЬ,ЛОЖЬ
5,6,Cartridge Color,28-мар-11,28-мар-11,Картридж,цветной,ЛОЖЬ,ЛОЖЬ
21,7,Cartridge Black & Fluorescent,20-июн-11,20-июн-11,Картридж,"черный, флуоресцентный",ЛОЖЬ,ЛОЖЬ
22,8,Cartridge Color & Photo,20-июн-11,20-июн-11,Картридж,"цветной, фото",ЛОЖЬ,ЛОЖЬ
23,9,Cartridge Black & Photo,02-июл-11,02-июл-11,Картридж,"черный, фото",ЛОЖЬ,ЛОЖЬ
33,10,Cartridge Black Photo,02-июл-11,02-июл-11,"Картридж, Тонер, Чернила",черный фото,ЛОЖЬ,ЛОЖЬ
32,11,Cartridge Photo,02-июл-11,02-июл-11,"Картридж, Тонер, Чернила",фото,ЛОЖЬ,ЛОЖЬ
35,12,Cartridge Black & Matte,05-июл-11,05-июл-11,"Картридж, Тонер, Чернила","черный, черный матовый",ЛОЖЬ,ЛОЖЬ
36,13,Cartridge Black Matte,05-июл-11,05-июл-11,"Картридж, Тонер, Чернила",черный матовый,ЛОЖЬ,ЛОЖЬ
30,14,Cartridge Gray,02-июл-11,02-июл-11,"Картридж, Тонер, Чернила",серый,ЛОЖЬ,ЛОЖЬ
31,15,Cartridge Light Gray,02-июл-11,02-июл-11,"Картридж, Тонер, Чернила",светло-серый,ЛОЖЬ,ЛОЖЬ
48,16,Cartridge Dark Gray,15-июл-20,15-июл-20,"Картридж, Тонер, Чернила",* темно-серый,ЛОЖЬ,ЛОЖЬ
39,17,Cartridge Red,06-июл-11,06-июл-11,"Картридж, Тонер, Чернила",красный,ЛОЖЬ,ЛОЖЬ
34,18,Cartridge Green,02-июл-11,02-июл-11,"Картридж, Тонер, Чернила",зеленый,ЛОЖЬ,ЛОЖЬ
37,19,Cartridge Blue,06-июл-11,06-июл-11,"Картридж, Тонер, Чернила",синий,ЛОЖЬ,ЛОЖЬ
38,20,Cartridge Glossy,06-июл-11,06-июл-11,"Картридж, Тонер, Чернила",глянец,ЛОЖЬ,ЛОЖЬ
45,21,Cartridge White,05-июл-20,05-июл-20,"Картридж, Тонер, Чернила",белый,ЛОЖЬ,ЛОЖЬ
46,22,Cartridge Transparent,05-июл-20,05-июл-20,"Картридж, Тонер, Чернила",прозрачный,ЛОЖЬ,ЛОЖЬ
47,23,Cartridge Neon,05-июл-20,05-июл-20,"Картридж, Тонер, Чернила",неоновый,ЛОЖЬ,ЛОЖЬ
7,24,Printhead Black,10-май-11,10-май-11,Печ. головка,черный,ЛОЖЬ,ЛОЖЬ
8,25,Printhead Cyan,10-май-11,10-май-11,Печ. головка,голубой,ЛОЖЬ,ЛОЖЬ
9,26,Printhead Yellow,10-май-11,10-май-11,Печ. головка,желтый,ЛОЖЬ,ЛОЖЬ
10,27,Printhead Magenta,10-май-11,10-май-11,Печ. головка,пурпурный,ЛОЖЬ,ЛОЖЬ
11,28,Printhead Light Cyan,10-май-11,10-май-11,Печ. головка,светло-голубой,ЛОЖЬ,ЛОЖЬ
12,29,Printhead Light Magenta,10-май-11,10-май-11,Печ. головка,светло-пурпурный,ЛОЖЬ,ЛОЖЬ
13,30,Printhead Color,11-май-11,11-май-11,Печ. головка,цветной,ЛОЖЬ,ЛОЖЬ
16,31,Drum Black,20-июн-11,06-июл-11,"Барабан, Фотокондуктор",черный,ЛОЖЬ,ЛОЖЬ
17,32,Drum Cyan,20-июн-11,06-июл-11,"Барабан, Фотокондуктор",голубой,ЛОЖЬ,ЛОЖЬ
18,33,Drum Yellow,20-июн-11,06-июл-11,"Барабан, Фотокондуктор",желтый,ЛОЖЬ,ЛОЖЬ
19,34,Drum Magenta,20-июн-11,06-июл-11,"Барабан, Фотокондуктор",пурпурный,ЛОЖЬ,ЛОЖЬ
20,35,Drum Color,20-июн-11,06-июл-11,"Барабан, Фотокондуктор",цветной,ЛОЖЬ,ЛОЖЬ
24,36,Developer Black,02-июл-11,02-июл-11,Девелопер,черный,ЛОЖЬ,ЛОЖЬ
25,37,Developer Cyan,02-июл-11,02-июл-11,Девелопер,голубой,ЛОЖЬ,ЛОЖЬ
26,38,Developer Yellow,02-июл-11,02-июл-11,Девелопер,желтый,ЛОЖЬ,ЛОЖЬ
27,39,Developer Magenta,02-июл-11,02-июл-11,Девелопер,пурпурный,ЛОЖЬ,ЛОЖЬ
28,40,Fuser,02-июл-11,02-июл-11,Блок термозакрепления,Все цвета РМ,ЛОЖЬ,ИСТИНА
29,41,Transfer Unit,02-июл-11,02-июл-11,Блок переноса изобр.,Все цвета РМ,ЛОЖЬ,ИСТИНА
41,42,Transfer Unit Black,21-дек-16,21-дек-16,Блок переноса изобр.,черный,ЛОЖЬ,ЛОЖЬ
42,43,Transfer Unit Cyan,21-дек-16,21-дек-16,Блок переноса изобр.,голубой,ЛОЖЬ,ЛОЖЬ
44,44,Transfer Unit Yellow,21-дек-16,21-дек-16,Блок переноса изобр.,желтый,ЛОЖЬ,ЛОЖЬ
43,45,Transfer Unit Magenta,21-дек-16,21-дек-16,Блок переноса изобр.,пурпурный,ЛОЖЬ,ЛОЖЬ
6,46,Waste tank,29-мар-11,29-мар-11,Емк. для отраб.,Все цвета РМ,ЛОЖЬ,ИСТИНА
40,47,Staples,17-дек-15,17-дек-15,Картридж,скрепки,ЛОЖЬ,ЛОЖЬ
